"ID","SSN","Phase","PhaseAbbr","Period","archInterp_1","funcInterp_1","archInterp_2","funcInterp_2","xxx","Occu_1","Occu_2","Occu"
13061,3266,"Patlachique-Tzacualli","PMic","EC","probably not occupied or utilized in this period","residence of uncertain status","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,0,0,"0. No evidence for occupation"
13062,3266,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","intermediate status residence","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13063,3266,"Xolalpan-Metepec","XlMe","LC","apartment compound","intermediate status residence","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13064,3266,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,0,0,"0. No evidence for occupation"
13065,3267,"Patlachique-Tzacualli","PMic","EC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,0,0,"0. No evidence for occupation"
13066,3267,"Miccaotli-Tlamimilolpa","McTl","MC","access-way (alley, street, avenue, etc.)","street or avenue","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not",FALSE,1,0,"1. Likely either less intensive or archaeologically ephemeral occupation"
13067,3267,"Xolalpan-Metepec","XlMe","LC","access-way (alley, street, avenue, etc.)","street or avenue","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not",FALSE,1,0,"1. Likely either less intensive or archaeologically ephemeral occupation"
13068,3267,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
13069,3268,"Patlachique-Tzacualli","PMic","EC","access-way (alley, street, avenue, etc.)","street or avenue","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13070,3268,"Miccaotli-Tlamimilolpa","McTl","MC","access-way (alley, street, avenue, etc.)","street or avenue","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13071,3268,"Xolalpan-Metepec","XlMe","LC","access-way (alley, street, avenue, etc.)","street or avenue","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13072,3268,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
13073,3269,"Patlachique-Tzacualli","PMic","EC","room group","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13074,3269,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13075,3269,"Xolalpan-Metepec","XlMe","LC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13076,3269,"Oxtoticpac","Oxto","ET","room group","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13077,3270,"Patlachique-Tzacualli","PMic","EC","room group","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13078,3270,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13079,3270,"Xolalpan-Metepec","XlMe","LC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13080,3270,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
13081,3271,"Patlachique-Tzacualli","PMic","EC","room group","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13082,3271,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13083,3271,"Xolalpan-Metepec","XlMe","LC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13084,3271,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
13085,3272,"Patlachique-Tzacualli","PMic","EC","room group","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13086,3272,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13087,3272,"Xolalpan-Metepec","XlMe","LC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13088,3272,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
13089,3273,"Patlachique-Tzacualli","PMic","EC","room group","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13090,3273,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13091,3273,"Xolalpan-Metepec","XlMe","LC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13092,3273,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
13093,3274,"Patlachique-Tzacualli","PMic","EC","plaza","plaza","occupation without durable structures","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13094,3274,"Miccaotli-Tlamimilolpa","McTl","MC","plaza","plaza","occupation without durable structures","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13095,3274,"Xolalpan-Metepec","XlMe","LC","plaza","plaza","occupation without durable structures","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13096,3274,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
13097,3275,"Patlachique-Tzacualli","PMic","EC","plaza","plaza","occupation without durable structures","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13098,3275,"Miccaotli-Tlamimilolpa","McTl","MC","plaza","plaza","occupation without durable structures","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13099,3275,"Xolalpan-Metepec","XlMe","LC","plaza","plaza","occupation without durable structures","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13100,3275,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period",NA,"no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
13101,3276,"Patlachique-Tzacualli","PMic","EC","room group","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13102,3276,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13103,3276,"Xolalpan-Metepec","XlMe","LC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13104,3276,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
13105,3277,"Patlachique-Tzacualli","PMic","EC","room group","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13106,3277,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13107,3277,"Xolalpan-Metepec","XlMe","LC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13108,3277,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
13109,3278,"Patlachique-Tzacualli","PMic","EC","room group","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13110,3278,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13111,3278,"Xolalpan-Metepec","XlMe","LC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13112,3278,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
13113,3279,"Patlachique-Tzacualli","PMic","EC","probably not occupied or utilized in this period",NA,"no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
13114,3279,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13115,3279,"Xolalpan-Metepec","XlMe","LC","apartment compound","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13116,3279,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
13117,3280,"Patlachique-Tzacualli","PMic","EC","occupation without durable structures",NA,"no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13118,3280,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13119,3280,"Xolalpan-Metepec","XlMe","LC","apartment compound","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13120,3280,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
13121,3281,"Patlachique-Tzacualli","PMic","EC","plaza","plaza","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13122,3281,"Miccaotli-Tlamimilolpa","McTl","MC","plaza","plaza","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13123,3281,"Xolalpan-Metepec","XlMe","LC","plaza","plaza","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13124,3281,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
13125,3282,"Patlachique-Tzacualli","PMic","EC","plaza","plaza","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13126,3282,"Miccaotli-Tlamimilolpa","McTl","MC","plaza","plaza","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13127,3282,"Xolalpan-Metepec","XlMe","LC","plaza","plaza","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13128,3282,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,0,0,"0. No evidence for occupation"
13129,3283,"Patlachique-Tzacualli","PMic","EC","room group","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13130,3283,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13131,3283,"Xolalpan-Metepec","XlMe","LC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13132,3283,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
13133,3284,"Patlachique-Tzacualli","PMic","EC","room group","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13134,3284,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13135,3284,"Xolalpan-Metepec","XlMe","LC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13136,3284,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
13137,3285,"Patlachique-Tzacualli","PMic","EC","occupation without durable structures","residence of uncertain status","no plausible alternative to the primary interpretation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13138,3285,"Miccaotli-Tlamimilolpa","McTl","MC","occupation without durable structures","residence of uncertain status","no plausible alternative to the primary interpretation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13139,3285,"Xolalpan-Metepec","XlMe","LC","occupation without durable structures","residence of uncertain status","no plausible alternative to the primary interpretation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13140,3285,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
13141,3286,"Patlachique-Tzacualli","PMic","EC","occupation without durable structures","puesto","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13142,3286,"Miccaotli-Tlamimilolpa","McTl","MC","occupation without durable structures","puesto","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13143,3286,"Xolalpan-Metepec","XlMe","LC","occupation without durable structures","puesto","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13144,3286,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
13145,3287,"Patlachique-Tzacualli","PMic","EC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,0,0,"0. No evidence for occupation"
13146,3287,"Miccaotli-Tlamimilolpa","McTl","MC","casa humilde","wall or segment of a wall","other","other",FALSE,2,1,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13147,3287,"Xolalpan-Metepec","XlMe","LC","casa humilde","wall or segment of a wall","other","other",FALSE,2,1,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13148,3287,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
13149,3288,"Patlachique-Tzacualli","PMic","EC","occupation without durable structures","puesto","plaza","market or part of a market",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13150,3288,"Miccaotli-Tlamimilolpa","McTl","MC","occupation without durable structures","puesto","plaza","market or part of a market",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13151,3288,"Xolalpan-Metepec","XlMe","LC","occupation without durable structures","puesto","plaza","market or part of a market",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13152,3288,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
13153,3289,"Patlachique-Tzacualli","PMic","EC",NA,NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,NA,NA,NA
13154,3289,"Miccaotli-Tlamimilolpa","McTl","MC",NA,NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,NA,NA,NA
13155,3289,"Xolalpan-Metepec","XlMe","LC",NA,NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,NA,NA,NA
13156,3289,"Oxtoticpac","Oxto","ET",NA,NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,NA,NA,NA
13157,3290,"Patlachique-Tzacualli","PMic","EC","room group","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13158,3290,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13159,3290,"Xolalpan-Metepec","XlMe","LC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13160,3290,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
13161,3291,"Patlachique-Tzacualli","PMic","EC","room group","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13162,3291,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13163,3291,"Xolalpan-Metepec","XlMe","LC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13164,3291,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
13165,3292,"Patlachique-Tzacualli","PMic","EC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,0,0,"0. No evidence for occupation"
13166,3292,"Miccaotli-Tlamimilolpa","McTl","MC","other","other","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13167,3292,"Xolalpan-Metepec","XlMe","LC","other","other","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13168,3292,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
13169,3293,"Patlachique-Tzacualli","PMic","EC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
13170,3293,"Miccaotli-Tlamimilolpa","McTl","MC","occupation without durable structures",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13171,3293,"Xolalpan-Metepec","XlMe","LC","occupation without durable structures",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
13172,3293,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
13173,3294,"Patlachique-Tzacualli","PMic","EC","room group","residence of uncertain status","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13174,3294,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","intermediate status residence","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13175,3294,"Xolalpan-Metepec","XlMe","LC","apartment compound","intermediate status residence","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13176,3294,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
13177,3295,"Patlachique-Tzacualli","PMic","EC","room group","residence of uncertain status","no plausible alternative to the primary interpretation","other",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13178,3295,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","other",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13179,3295,"Xolalpan-Metepec","XlMe","LC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","other",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13180,3295,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
13181,3296,"Patlachique-Tzacualli","PMic","EC","room group","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13182,3296,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13183,3296,"Xolalpan-Metepec","XlMe","LC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
13184,3296,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
13185,3297,"Patlachique-Tzacualli","PMic","EC","occupation without durable structures",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
