"SSN","Occu_EC","Occu_MC","Occu_LC","Occu_ET"
3058,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3059,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3060,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3061,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3062,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3063,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","1. Likely either less intensive or archaeologically ephemeral occupation"
3064,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3065,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3066,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3067,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","1. Likely either less intensive or archaeologically ephemeral occupation"
3068,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3069,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","1. Likely either less intensive or archaeologically ephemeral occupation"
3070,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3071,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3072,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3073,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3074,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3075,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3076,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3077,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3078,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3079,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","1. Likely either less intensive or archaeologically ephemeral occupation"
3080,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3081,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3082,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3083,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3084,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3085,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3086,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3087,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3088,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3089,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3090,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3091,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3092,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","1. Likely either less intensive or archaeologically ephemeral occupation"
3093,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3094,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3095,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3096,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings"
3097,NA,NA,NA,NA
3098,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3099,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3100,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3101,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3102,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3103,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3104,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","1. Likely either less intensive or archaeologically ephemeral occupation"
3105,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3106,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","1. Likely either less intensive or archaeologically ephemeral occupation"
3107,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","1. Likely either less intensive or archaeologically ephemeral occupation"
3108,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3109,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3110,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","1. Likely either less intensive or archaeologically ephemeral occupation"
3111,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","1. Likely either less intensive or archaeologically ephemeral occupation"
3112,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3113,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3114,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3115,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","1. Likely either less intensive or archaeologically ephemeral occupation"
3116,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","1. Likely either less intensive or archaeologically ephemeral occupation"
3117,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","1. Likely either less intensive or archaeologically ephemeral occupation"
3118,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","1. Likely either less intensive or archaeologically ephemeral occupation"
3119,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","1. Likely either less intensive or archaeologically ephemeral occupation"
3120,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","1. Likely either less intensive or archaeologically ephemeral occupation"
3121,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3122,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3123,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3124,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3125,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3126,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3127,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3128,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3129,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3130,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3131,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3132,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3133,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3134,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3135,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3136,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3137,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3138,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3139,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3140,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3141,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3142,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3143,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3144,"1. Likely either less intensive or archaeologically ephemeral occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3145,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings"
3146,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings"
3147,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3148,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3149,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings"
3150,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings"
3151,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings"
3152,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3153,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3154,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation"
3155,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings"
3156,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings"
3157,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3158,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3159,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3160,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3161,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3162,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings"
3163,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3164,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3165,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3166,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings"
3167,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation"
3168,"0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
3169,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3170,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3171,"0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
3172,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3173,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3174,"2. Evidence for permanent occupation of some form","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3175,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3176,"2. Evidence for permanent occupation of some form","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3177,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3178,"1. Likely either less intensive or archaeologically ephemeral occupation","2. Evidence for permanent occupation of some form","2. Evidence for permanent occupation of some form","0. No evidence for occupation"
3179,"2. Evidence for permanent occupation of some form","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3180,"2. Evidence for permanent occupation of some form","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3181,"2. Evidence for permanent occupation of some form","2. Evidence for permanent occupation of some form","2. Evidence for permanent occupation of some form","0. No evidence for occupation"
3182,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","2. Evidence for permanent occupation of some form"
3183,NA,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3184,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3185,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3186,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3187,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","1. Likely either less intensive or archaeologically ephemeral occupation"
3188,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3189,"1. Likely either less intensive or archaeologically ephemeral occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3190,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3191,NA,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3192,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation"
3193,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3194,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3195,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3196,"0. No evidence for occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3197,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3198,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3199,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3200,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3201,"1. Likely either less intensive or archaeologically ephemeral occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3202,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3203,"2. Evidence for permanent occupation of some form","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3204,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3205,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
3206,"0. No evidence for occupation","2. Evidence for permanent occupation of some form","2. Evidence for permanent occupation of some form","0. No evidence for occupation"
3207,"2. Evidence for permanent occupation of some form","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
